"cov","mu","sd","PopulationName"
"pndvi",0.4338254478125,0.0475606891005527,"Cabin&DJ&Lye&Martin&Deep&RoundCorral&Alkali"
"pndvi",0.60993761915625,0.051100847222432,"Cabin_up"
"pndvi",0.503541081875,0.064029552526502,"California"
"pndvi",0.33848950928125,0.0415242799036569,"Canyon&Canyon_SF"
"pndvi",0.4379860646875,0.0381493434924768,"Carville"
"pndvi",0.47223989921875,0.050259575199561,"Clear_RRD"
"pndvi",0.5087730175,0.043138560990895,"Cold_ColdNF"
"pndvi",0.57076283996875,0.0395722889730081,"Cold_NF_up"
"pndvi",0.3069295514375,0.0381651014210112,"Colman_up"
"pndvi",0.5409540718125,0.0425391477192258,"Conrad_dwn&Talbot_dwn"
"pndvi",0.6790183530625,0.0426556159340973,"Conrad_up"
"pndvi",0.2827206055,0.0395775450180622,"Cottonwood&Indian_QRD"
"pndvi",0.53347165715625,0.0406116747095479,"Cottonwood_RRD"
"pndvi",0.5613880390625,0.0347598227282468,"Cottonwood_SFHRD"
"pndvi",0.43973914171875,0.0318720498006965,"Cottonwood_WalkerLake"
"pndvi",0.455307078625,0.0515599563599336,"Coyote"
"pndvi",0.5384898850625,0.0370617361359489,"CraneCanyon"
"pndvi",0.412752021734375,0.0344139022205671,"CraneCanyon_dwn"
"pndvi",0.38025194190625,0.0402884030557719,"Crowley"
"pndvi",0.41300255371875,0.0550881956000526,"Currant"
"pndvi",0.44959720678125,0.0787276841935994,"Currant_up"
"pndvi",0.468348018625,0.0357138821815771,"Deering"
"pndvi",0.340174690875,0.042238447372812,"Dixie"
"pndvi",0.27048816234375,0.0329914702279633,"Donnelly"
"pndvi",0.3175369948125,0.0414741535759882,"Dorsey"
"pndvi",0.5680010461875,0.0682199180833894,"Draw_AboveBarrier"
"pndvi",0.37528039921875,0.0286676222720217,"EchoCanyon_dwn"
"pndvi",0.65480385928125,0.039196007904018,"EchoCanyon_up"
"pndvi",0.35595840615625,0.0314870430694012,"Edwards"
"pndvi",0.32344801884375,0.0463032856010325,"Eightmile"
"pndvi",0.481265944625,0.060600312359125,"EMR&MRBC&CC&QC&Cutt&Short&WillBas"
"pndvi",0.3821689495,0.0463541798966848,"FallsCanyon"
"pndvi",0.38558594796875,0.0457240672739409,"Flat"
"pndvi",0.40522447346875,0.0479443285832498,"Flat_SFReconnect"
"pndvi",0.56947262884375,0.052257394356974,"Foreman"
"pndvi",0.3151924098125,0.0392572361089179,"Frazer"
"pndvi",0.6406293773125,0.0454144265953343,"Furlong_N"
"pndvi",0.5427792555625,0.0509666774508483,"Gance_RdCny_Warm"
"pndvi",0.54046060796875,0.0562681318633846,"Gardner"
"pndvi",0.51524647765625,0.0359776630990053,"Gennette"
"pndvi",0.4409697920625,0.0415392273212085,"GreenMtn_Main_SF"
"pndvi",0.57388949728125,0.0462815373969794,"GreenMtn_NF"
"pndvi",0.43120721140625,0.0354438982552856,"Greys"
"pndvi",0.6468328454375,0.0408974030554724,"Greys_up"
"pndvi",0.39122951353125,0.0362319724280152,"GrMtnToynReconnect"
"pndvi",0.43637102415625,0.0456833810376755,"Hall&Greys_dwn"
"pndvi",0.38580679703125,0.0413660923692308,"Hanks&Conners"
"pndvi",0.30151967440625,0.0400911718031287,"Happy"
"pndvi",0.3854048644375,0.0557750273633918,"HorseCanyon"
"pndvi",0.40736325925,0.0516683894153038,"House"
"pndvi",0.57901463778125,0.0598660774907486,"Humboldt_NF&ColeCyn"
"pndvi",0.47446215428125,0.0741002207614338,"HumboldtReconnect"
"pndvi",0.338434236375,0.0328112231578198,"Illinois"
"pndvi",0.4007392498125,0.0417036558739007,"Indian"
"pndvi",0.42524030578125,0.0460985053578087,"Indian_SF"
"pndvi",0.348856053375,0.0333629096567821,"Jackson"
"pndvi",0.38980029759375,0.0484633446554917,"Kings&ColdSpgs"
"pndvi",0.2796122791875,0.0349829197047899,"KingsReconnect"
"pndvi",0.5857218215625,0.0411653771478016,"Kleckner_dwn&Welch"
"pndvi",0.69222733075,0.0384135053268141,"Kleckner_up"
"pndvi",0.3980159461875,0.0487953092414133,"KlondikeCan&Quinn_EF&Laca"
"pndvi",0.57958244753125,0.032850301220798,"LamoilleCyn"
"pndvi",0.5311978606875,0.0444281751837849,"Lee"
"pndvi",0.528088868875,0.036946776876126,"Lewis_RRD"
"pndvi",0.37046550671875,0.0475227093166894,"LineCanyon"
"pndvi",0.3687974980625,0.0352084531201997,"LittleCottonwood"
"pndvi",0.39034017003125,0.049532389238993,"LittleHumboldt_NF"
"pndvi",0.40385709171875,0.0450543994831264,"LittleJack"
"pndvi",0.40449596478125,0.0427907273971802,"LogCabin&Raster"
"pndvi",0.29844704809375,0.0591994219106513,"LoneMtn"
"pndvi",0.385474504,0.0504564962335076,"Maggie"
"pndvi",0.40841231615625,0.0568337364225711,"MaggieReconnect"
"pndvi",0.421473764625,0.0739148504902589,"Mahala&Jim"
"pndvi",0.585256748375,0.042900942099916,"Mahogany&Segunda&LongCanyon"
"pndvi",0.34620028228125,0.0253263938978425,"MarySloan"
"pndvi",0.5287490440625,0.0613755223343655,"MarysReconnect"
"pndvi",0.47321769334375,0.0343783137182685,"Marysville"
"pndvi",0.22730348790625,0.0196853536214847,"Marysville_nonconpop"
"pndvi",0.428857524125,0.0342188477637226,"Marysville_nonconpop_up"
"pndvi",0.39280434978125,0.0366993719641425,"McConnell"
