"MetaPopID","MetaPop_Name","PopID","PopulationName","PopNameShort","PopType","COMID","Pop_Extent_km","Isolated","GMU","US_State"
,,323,"Ackler","Ackler","OtherPop",10778218,11.16,,"Eastern Lahontan Basin","NV"
,,64,"Andorno","Andorno","ConsPop",11852731,3.63,,"Northwest Lahontan Basin","NV"
,,264,"Bartlett","Bartlett","OtherPop",11277576,6.97,,"Northwest Lahontan Basin","NV"
,,65,"Battle_NF","NF Battle","ConsPop",11281838,6.66,,"Northwest Lahontan Basin","NV"
,,150,"Big&Big_NF","Big","OtherPop",11277186,10.81,,"Northwest Lahontan Basin","NV"
,,320,"Big&CorralCyn","Big & Corral Cyn","OtherPop",11177629,16.37,,"Eastern Lahontan Basin","NV"
,,122,"Birch","Birch","OtherPop",11230154,4.94,,"Eastern Lahontan Basin","NV"
,,151,"Boone","Boone","OtherPop",11175527,8.75,,"Eastern Lahontan Basin","NV"
,,312,"Bottle","Bottle","OtherPop",11851685,15.21,,"Northwest Lahontan Basin","NV"
,,152,"BoxCanyon_aka_Stoddard","Stoddard","OtherPop",10751239,5.67,,"Eastern Lahontan Basin","NV"
,,153,"Brown","Brown","OtherPop",946040189,8.10,,"Eastern Lahontan Basin","NV"
,,173,"BuffaloCanyon","Buffalo Cyn","OtherPop",11852703,8.33,,"Northwest Lahontan Basin","NV"
,,217,"CA_ByDay","By Day","ConsPop",8915047,5.87,,"Western Lahontan Basin","CA"
,,295,"CA_CharityValley","Charity Valley","OtherPop",8922813,12.78,,"Western Lahontan Basin","CA"
,,270,"CA_Deep","Deep","OtherPop",10744306,42.57,,"Western Lahontan Basin","CA"
,,272,"CA_Deer","Deer","OtherPop",8934040,5.88,,"Western Lahontan Basin","CA"
,,271,"CA_Desert","Desert","OtherPop",10742558,34.16,,"Western Lahontan Basin","CA"
,,232,"CA_Dog","Dog","OtherPop",8930230,16.36,,"Western Lahontan Basin","CA"
,,332,"CA_Dunderberg&Dog","Dunder-Dog (CA)","OtherPop",8915417,20.37,,"Western Lahontan Basin","CA"
,,274,"CA_Eagle","Eagle","OtherPop",8915311,9.22,,"Western Lahontan Basin","CA"
,,228,"CA_EastForkCarson","EF Carson","ConsPop",8924939,13.99,,"Western Lahontan Basin","CA"
,,296,"CA_EastForkCarson_up1","EF Carson (up1)","ConsPop",8925025,1.08,,"Western Lahontan Basin","CA"
,,297,"CA_EastForkCarson_up2","EF Carson (up2)","ConsPop",8925027,2.39,,"Western Lahontan Basin","CA"
,,298,"CA_EastForkCarsonReconnect","EF Carson (recon)","Reconnect",8924901,3.71,,"Western Lahontan Basin","CA"
,,334,"CA_Forestdale","Forestdale (CA)","OtherPop",8922827,4.58,,"Western Lahontan Basin","CA"
,,227,"CA_GoldenCanyon","Golden Cyn","ConsPop",8924957,2.40,,"Western Lahontan Basin","CA"
,,330,"CA_Horse","Horse (CA)","OtherPop",8915443,4.51,,"Western Lahontan Basin","CA"
,,259,"CA_Horsethief","Horsethief","OtherPop",8922479,4.70,,"Western Lahontan Basin","CA"
,,233,"CA_Hunter","Hunter","OtherPop",8935786,7.87,,"Western Lahontan Basin","NV"
,,234,"CA_Independence","Independence","ConsPop",8933584,2.19,,"Western Lahontan Basin","CA"
,,299,"CA_JeffDavis","Jeff Davis","OtherPop",8922965,6.14,,"Western Lahontan Basin","CA"
,,216,"CA_Mill_dwn","Mill (dwn)","ConsPop",10744290,3.24,,"Western Lahontan Basin","CA"
,,215,"CA_Mill_up","Mill (up)","ConsPop",10744394,6.81,,"Western Lahontan Basin","CA"
,,301,"CA_Mountaineer","Mountaineer","OtherPop",8922675,4.84,,"Western Lahontan Basin","CA"
,,302,"CA_Mountaineer_E_up","Mountaineer (E; up)","OtherPop",8922805,5.04,,"Western Lahontan Basin","CA"
,,303,"CA_Mountaineer_W_up","Mountaineer (W; up)","OtherPop",8922751,2.66,,"Western Lahontan Basin","CA"
,,235,"CA_Murphy","Murphy","ConsPop",8915845,11.60,,"Western Lahontan Basin","CA"
,,226,"CA_MurrayCanyon","Murray Cyn","ConsPop",8924913,3.23,,"Western Lahontan Basin","CA"
,,275,"CA_Paiute_CorralValley","Corral Valley","OtherPop",8924925,4.96,,"Western Lahontan Basin","CA"
,,276,"CA_Paiute_CoyoteValley","Coyote Valley","OtherPop",8925269,5.42,,"Western Lahontan Basin","CA"
,,277,"CA_Paiute_FlyValley","Fly Valley","OtherPop",8925271,1.63,,"Western Lahontan Basin","CA"
,,278,"CA_Paiute_FourMileCanyon","Four Mile Cyn","OtherPop",8925011,2.05,,"Western Lahontan Basin","CA"
,,279,"CA_Paiute_Historic","Historic","OtherPop",8923315,14.58,,"Western Lahontan Basin","CA"
,,280,"CA_Paiute_UpSilverKing","Silver King (up)","OtherPop",8924967,8.13,,"Western Lahontan Basin","CA"
,,219,"CA_PoisonFlat","Poison Flat","ConsPop",8923305,3.35,,"Western Lahontan Basin","CA"
,,146,"CA_Pole","Pole (CA)","ConsPop",8934374,2.78,,"Western Lahontan Basin","CA"
,,251,"CA_RaymondMeadows","Raymond Meadows","OtherPop",8923139,3.72,,"Western Lahontan Basin","CA"
,,331,"CA_Robinson","Robinson (CA)","OtherPop",8915429,10.96,,"Western Lahontan Basin","CA"
,,237,"CA_SageHen","Sagehen","OtherPop",8933518,12.97,,"Western Lahontan Basin","CA"
,,304,"CA_Silver_dwn","Silver (dwn)","ConsPop",10744454,2.09,,"Western Lahontan Basin","CA"
,,261,"CA_Silver_NWTahoe","Silver (Tahoe)","OtherPop",8934042,3.78,,"Western Lahontan Basin","CA"
,,213,"CA_Silver_up","Silver (up)","ConsPop",10744454,5.72,,"Western Lahontan Basin","CA"
,,212,"CA_Slinkard","Slinkard","ConsPop",10742574,9.32,,"Western Lahontan Basin","CA"
,,311,"CA_Slinkard_dwn","Slinkard (dwn)","ConsPop",10742468,3.43,,"Western Lahontan Basin","CA"
,,305,"CA_UpperTruckee_dwn","U Truckee (dwn)","ConsPop",8943969,3.84,,"Western Lahontan Basin","CA"
,,240,"CA_UpperTruckee_up","Upper Truckee","ConsPop",8943969,8.07,,"Western Lahontan Basin","CA"
,,241,"CA_WebberLake","Webber","OtherPop",8933208,23.61,,"Western Lahontan Basin","CA"
,,260,"CA_Willow","Willow (CA)","OtherPop",8922467,8.62,,"Western Lahontan Basin","CA"
,,309,"CA_Willow_up","Willow (CA; up)","OtherPop",8922399,17.38,,"Western Lahontan Basin","CA"
,,214,"CA_Wolf_dwn","Wolf (CA; dwn)","ConsPop",10744472,3.23,,"Western Lahontan Basin","CA"
,,310,"CA_Wolf_up","Wolf (CA; up)","ConsPop",10744472,1.90,,"Western Lahontan Basin","CA"
,,161,"Cabin&DJ&Lye&Martin&Deep&RoundCorral&Alkali","Martin","OtherPop",11135742,91.56,,"Eastern Lahontan Basin","NV"
,,333,"Cabin_up","Cabin (up)","OtherPop",11137360,2.70,,"Eastern Lahontan Basin","NV"
,,158,"Canyon&Canyon_SF","Canyon","OtherPop",11849931,8.15,,"Northwest Lahontan Basin","NV"
,,24,"Carville","Carville","ConsPop",10752865,2.74,,"Eastern Lahontan Basin","NV"
,,160,"Cold_ColdNF","Cold (HRD)","OtherPop",10786094,11.83,,"Eastern Lahontan Basin","NV"
,,69,"Cold_NF_up","NF Cold (HRD)","ConsPop",10787086,3.91,,"Eastern Lahontan Basin","NV"
,,82,"Colman_up","Colman","ConsPop",11279248,7.68,,"Northwest Lahontan Basin","NV"
,,110,"Conrad_up","Conrad","OtherPop",10786424,2.26,,"Eastern Lahontan Basin","NV"
,,128,"Cottonwood_RRD","Cottonwood (RRD)","OtherPop",11178273,8.29,,"Eastern Lahontan Basin","NV"
,,113,"Cottonwood_SFHRD","Cottonwood (SFHRD)","OtherPop",10752657,3.04,,"Eastern Lahontan Basin","NV"
,,258,"Cottonwood_WalkerLake","Cottonwood (Walker Lk)","OtherPop",10734408,8.84,,"Western Lahontan Basin","NV"
,,70,"CraneCanyon","Crane Cyn","ConsPop",11180055,1.56,,"Eastern Lahontan Basin","NV"
,,281,"CraneCanyon_dwn","Crane Cyn (dwn)","OtherPop",11180055,4.02,,"Eastern Lahontan Basin","NV"
,,71,"Crowley","Crowley","ConsPop",11849873,9.54,,"Northwest Lahontan Basin","NV"
,,327,"Currant_up","Currant up","OtherPop",10772152,3.63,,"Eastern Lahontan Basin","NV"
,,25,"Dixie","Dixie","ConsPop",10752727,11.07,,"Eastern Lahontan Basin","NV"
